,i_half,train_RMSF,test_RMSF
0,392.3529670191466,47.35686783567397,47.35686783567397
1,383.7179389237327,46.34217639165192,44.9019530734318
2,376.952259158677,47.39598579346352,32.586434584044234
3,373.44747866722616,41.84996880716181,89.3454788231998
4,373.39608499288244,49.00764010052449,20.22358916361562
5,376.7603519443744,49.75820589687863,17.76088453906762
6,401.2443104482194,51.65742251739829,28.83731616844586
7,376.130175244034,38.409008049656194,168.70692897671242
8,370.03465921421997,46.066795397168306,38.14864840665715
9,366.52363436953374,36.752458949446925,212.7898313765403
10,363.0261571155718,51.6813649508992,9.41441225011505
