,i_half,train_RMSF,test_RMSF
0,535.3151721256263,26.66521812094653,26.66521812094653
1,528.834840200502,26.87987471709497,24.947884007891187
2,518.2513756291355,28.940733521338057,12.546873709639783
3,528.1053538259655,28.40969736620061,14.667382799261423
4,533.5063498665548,27.548263929383893,19.871870341472064
5,547.1994779245401,21.082637655503078,130.41359735443535
6,536.5123278932608,22.120845151788316,97.6204745173164
7,544.1961017774643,29.071209456356257,10.05416328724475
8,523.0445634284899,29.04151042887244,10.174793621809624
9,517.0606436298966,27.1656753626709,23.44038648662167
10,540.0234129218336,26.95079527737127,24.19723891147579
