"","Ereignis.ID","Datum","SchaSum.MIN","SchaSum.MEDIAN","SchaSum.MAX","wgs.p95","Datensatz"
"71",10224,"1986-03-25",1.4825274,1.8024405,2.2474557,103,"sim"
"72",10225,"1986-03-25",1.1816871,1.4420673,1.8823104,102,"sim"
"73",10226,"1986-03-25",1.6795412,1.9983453,2.6158685,105,"sim"
"74",10227,"1986-03-25",0.6957444,0.8799161,1.2768061,100,"sim"
"75",10228,"1986-03-25",1.8618245,2.3369775,2.8673472,107,"sim"
"76",10229,"1986-03-25",0.8103396,1.0097805,1.3691213,101,"sim"
"77",10301,"1986-10-22",0.2366239,0.3062436,0.4047808,95,"sim"
"78",10302,"1986-10-22",0.5742994,0.7098243,1.0932384,98,"sim"
"79",10303,"1986-10-22",0.0325873,0.0541236,0.1112043,99,"sim"
"80",10304,"1986-10-22",0.7173281,0.8803122,1.2340063,100,"sim"
"81",10305,"1986-10-22",0.1298185,0.1790293,0.2678023,100,"sim"
"82",10306,"1986-10-22",0.8600565,1.1037767,1.9180224,96,"sim"
"83",10307,"1986-10-22",0.7160793,0.9647608,1.5774656,95,"sim"
"84",10308,"1986-10-22",1.6898221,2.2940778,3.6346071,98,"sim"
"85",10309,"1986-10-22",0.1658222,0.2653873,0.6447231,93,"sim"
"86",10310,"1986-10-22",2.5252015,3.249754,4.7640529,99,"sim"
"87",10311,"1986-10-22",0.4026458,0.5735263,0.9612723,94,"sim"
"88",10312,"1986-10-22",0.6861339,0.8620134,1.3425031,100,"sim"
"89",10313,"1986-10-22",0.5157606,0.697608,1.2467922,99,"sim"
"90",10314,"1986-10-22",0.7856534,0.9901473,1.4134086,102,"sim"
"91",10315,"1986-10-22",0.3828001,0.5133894,0.9400192,97,"sim"
"92",10316,"1986-10-22",0.9108266,1.1212556,1.5702942,104,"sim"
"93",10317,"1986-10-22",0.493356,0.6463792,1.0310306,98,"sim"
"94",10318,"1986-10-22",0.559735,0.7505588,1.053488,103,"sim"
"95",10319,"1986-10-22",0.4878044,0.6461199,0.9346157,101,"sim"
"96",10320,"1986-10-22",0.8355488,1.1321225,1.9609543,103,"sim"
"97",10321,"1986-10-22",0.26214,0.3817398,0.6235539,99,"sim"
"98",10322,"1986-10-22",1.118526,1.6115386,2.3727263,105,"sim"
"99",10323,"1986-10-22",0.4121928,0.5650336,0.8254175,100,"sim"
"100",10324,"1986-10-22",0.7904326,1.0481233,1.6240921,97,"sim"
"101",10325,"1986-10-22",0.7493189,0.9754751,1.3887951,95,"sim"
"102",10326,"1986-10-22",0.9918953,1.2476392,1.7917193,98,"sim"
"103",10327,"1986-10-22",0.462092,0.6355757,1.0515249,94,"sim"
"104",10328,"1986-10-22",1.1010556,1.3986556,1.9647814,100,"sim"
"105",10329,"1986-10-22",0.6235752,0.827482,1.2474888,95,"sim"
"106",10504,"1988-02-08",0.6235752,0.827482,1.2474888,95,"sim"
"107",10510,"1988-02-08",0.6235752,0.827482,1.2474888,95,"sim"
"108",10522,"1988-02-08",0.0046779,0.0177541,0.1489194,91,"sim"
"109",10701,"1990-01-25",0.0028412,0.0082933,0.0253149,93,"sim"
