N,RMSF,cal_region2,total_impact_CLIMADA,total_impact_EMDAT_scaled,v_half
73,66.0807450341405,NA1,2191526500948.4148,135352357369.4079,25.8
73,66.07856325753767,NA1,2191448266158.4958,135352357369.4079,25.9
73,66.07264285945858,NA1,2191235979071.5854,135352357369.4079,26.000000000000004
73,66.0611202309657,NA1,2190822848164.1577,135352357369.4079,26.100000000000005
73,66.04214238885888,NA1,2190142519055.6482,135352357369.4079,26.20000000000001
73,66.01387487435275,NA1,2189129399164.8877,135352357369.4079,26.300000000000008
73,65.97451178590362,NA1,2187719069571.429,135352357369.4079,26.40000000000001
73,65.92228781411808,NA1,2185848778107.0889,135352357369.4079,26.50000000000001
73,65.85549208731176,NA1,2183458005031.1682,135352357369.4079,26.60000000000001
73,65.77248356953163,NA1,2180489089653.925,135352357369.4079,26.70000000000001
73,65.67170768191485,NA1,2176887903122.2542,135352357369.4079,26.800000000000008
73,65.55171374717152,NA1,2172604549462.8652,135352357369.4079,26.90000000000001
73,65.41117279045912,NA1,2167594074116.9863,135352357369.4079,27.00000000000001
73,65.2488951731615,NA1,2161817156841.9402,135352357369.4079,27.10000000000002
73,65.06384749439613,NA1,2155240764246.2817,135352357369.4079,27.20000000000002
73,64.85516817347647,NA1,2147838736594.732,135352357369.4079,27.300000000000026
73,64.62218112926097,NA1,2139592284051.2363,135352357369.4079,27.400000000000023
73,64.36440700228289,NA1,2130490369340.2925,135352357369.4079,27.500000000000025
73,64.08157142397971,NA1,2120529956926.837,135352357369.4079,27.600000000000023
73,63.77360992342123,NA1,2109716113170.653,135352357369.4079,27.700000000000035
73,63.44066917264777,NA1,2098061947323.1853,135352357369.4079,27.800000000000033
73,63.083104401961975,NA1,2085588389424.7522,135352357369.4079,27.900000000000034
73,62.7014729593401,NA1,2072323807770.2678,135352357369.4079,28.000000000000032
73,62.29652413533974,NA1,2058303475232.8997,135352357369.4079,28.100000000000033
73,61.86918551767432,NA1,2043568899944.347,135352357369.4079,28.200000000000035
73,61.420546269397725,NA1,2028167041229.6624,135352357369.4079,28.30000000000004
73,60.95183783371679,NA1,2012149435948.412,135352357369.4079,28.400000000000038
73,60.464412650794706,NA1,1995571263260.0454,135352357369.4079,28.50000000000004
73,59.95972152358694,NA1,1978490377180.2659,135352357369.4079,28.600000000000037
73,59.43929028920035,NA1,1960966336117.7388,135352357369.4079,28.70000000000004
73,58.90469644029052,NA1,1943059456981.3506,135352357369.4079,28.800000000000054
73,58.357546300548094,NA1,1924829918629.0928,135352357369.4079,28.900000000000052
73,57.79945329402833,NA1,1906336935662.5962,135352357369.4079,29.000000000000053
73,57.23201776574674,NA1,1887638019169.1934,135352357369.4079,29.10000000000005
73,56.65680871698903,NA1,1868788336298.0593,135352357369.4079,29.200000000000053
73,56.07534771951758,NA1,1849840175832.3328,135352357369.4079,29.300000000000054
73,55.48909517417125,NA1,1830842522448.154,135352357369.4079,29.400000000000052
73,54.89943898625118,NA1,1811840738342.6704,135352357369.4079,29.500000000000053
73,54.307685646439,NA1,1792876347511.3518,135352357369.4079,29.60000000000005
73,53.71505363451115,NA1,1773986915243.759,135352357369.4079,29.700000000000053
73,53.122669005300686,NA1,1755206013411.216,135352357369.4079,29.800000000000054
73,52.531562972670834,NA1,1736563260817.1875,135352357369.4079,29.90000000000006
73,51.9426712772785,NA1,1718084427211.6277,135352357369.4079,30.000000000000053
73,51.35683510651665,NA1,1699791589449.5999,135352357369.4079,30.100000000000065
73,50.77480332866979,NA1,1681703328603.3843,135352357369.4079,30.20000000000007
73,50.19723580618191,NA1,1663834957513.4443,135352357369.4079,30.30000000000007
73,49.62470756310149,NA1,1646198769187.5615,135352357369.4079,30.400000000000066
73,49.057713597378005,NA1,1628804297538.7778,135352357369.4079,30.50000000000007
73,48.49667414801367,NA1,1611658583113.3044,135352357369.4079,30.600000000000072
73,47.94194024861146,NA1,1594766437635.1038,135352357369.4079,30.70000000000007
73,47.39379942133988,NA1,1578130702334.4392,135352357369.4079,30.80000000000007
73,46.85248138772909,NA1,1561752496096.8787,135352357369.4079,30.900000000000077
73,46.31816369425135,NA1,1545631450442.5435,135352357369.4079,31.000000000000075
73,45.79097717075535,NA1,1529765929208.5286,135352357369.4079,31.100000000000076
73,45.2710111581568,NA1,1514153231554.5051,135352357369.4079,31.200000000000077
73,44.758318458125466,NA1,1498789777542.8477,135352357369.4079,31.300000000000075
73,44.252919971774965,NA1,1483671276065.4583,135352357369.4079,31.400000000000077
73,43.754809006571335,NA1,1468792875307.7932,135352357369.4079,31.500000000000075
73,43.26395524092236,NA1,1454149296266.9,135352357369.4079,31.60000000000009
73,42.78030834432852,NA1,1439734950085.3384,135352357369.4079,31.700000000000085
73,42.30380125773744,NA1,1425544040138.2659,135352357369.4079,31.80000000000009
73,41.83435314402906,NA1,1411570649927.393,135352357369.4079,31.90000000000009
73,41.371872022557184,NA1,1397808817903.4382,135352357369.4079,32.000000000000085
73,40.916257104566526,NA1,1384252600367.1877,135352357369.4079,32.100000000000094
73,40.46740084826354,NA1,1370896123596.7366,135352357369.4079,32.20000000000009
73,40.02519075350536,NA1,1357733626321.9465,135352357369.4079,32.3000000000001
73,39.589510916626494,NA1,1344759493622.897,135352357369.4079,32.40000000000009
73,39.16024336596942,NA1,1331968283271.9722,135352357369.4079,32.5000000000001
73,38.737269198341366,NA1,1319354745473.8442,135352357369.4079,32.600000000000094
73,38.320469535967746,NA1,1306913836886.881,135352357369.4079,32.7000000000001
73,37.90972632264584,NA1,1294640729736.6924,135352357369.4079,32.8000000000001
73,37.504922976771546,NA1,1282530816759.2388,135352357369.4079,32.900000000000105
73,37.105944917788634,NA1,1270579712639.2087,135352357369.4079,33.0000000000001
73,36.712679981419406,NA1,1258783252540.0103,135352357369.4079,33.10000000000011
73,36.32501873783331,NA1,1247137488255.989,135352357369.4079,33.2000000000001
73,35.942854725702574,NA1,1235638682455.4758,135352357369.4079,33.30000000000011
73,35.56608461392249,NA1,1224283301425.8062,135352357369.4079,33.400000000000105
73,35.19460830163678,NA1,1213068006678.2412,135352357369.4079,33.500000000000114
73,34.82832896613089,NA1,1201989645722.249,135352357369.4079,33.60000000000011
73,34.46715306713479,NA1,1191045242274.3193,135352357369.4079,33.70000000000012
73,34.11099031512634,NA1,1180231986126.7886,135352357369.4079,33.80000000000011
73,33.75975361033881,NA1,1169547222866.2617,135352357369.4079,33.90000000000012
73,33.41335895836414,NA1,1158988443599.4897,135352357369.4079,34.000000000000114
73,33.07172536749234,NA1,1148553274816.1797,135352357369.4079,34.10000000000012
73,32.734774732251964,NA1,1138239468493.4739,135352357369.4079,34.20000000000012
73,32.40243170699419,NA1,1128044892524.8933,135352357369.4079,34.300000000000125
73,32.07462357281333,NA1,1117967521537.7227,135352357369.4079,34.40000000000012
73,31.751280100592453,NA1,1108005428146.2822,135352357369.4079,34.50000000000013
73,31.43233341252309,NA1,1098156774674.5872,135352357369.4079,34.60000000000012
73,31.11771784404846,NA1,1088419805369.8148,135352357369.4079,34.70000000000013
73,30.807369807834323,NA1,1078792839117.9674,135352357369.4079,34.800000000000125
