,i_half,train_RMSF,test_RMSF
0,556.426876504406,21.143405941287636,21.143405941287636
1,536.2967207373763,20.866471729338045,24.081195621665568
2,543.564730620027,22.36019466855546,12.398034556323413
3,549.4447115076858,22.51588311470077,11.431909567911
4,574.2589008953767,18.23489303132956,65.00110132204232
5,543.6362472214585,20.263983309243997,29.648258760942415
6,519.9712539767019,21.639487124168976,20.182775706241145
7,563.70530164617,21.979334668898005,14.558579995075513
8,556.220717200044,21.959090007479762,14.20306311496035
9,552.1395527727364,23.007910531976517,7.6870874637855
10,550.0865541156004,18.62165407288706,59.1511651502548
