,country,region_id,cal_region2,year,name,EM_ID,ibtracsID,emdat_impact,reference_year,emdat_impact_scaled,climada_impact,v_thresh,v_half,scale,ratio,log_ratio,unique_ID,Surge,Rain,Flood,Slide
29,PHL,608,WP2,2006,Durian (Reming),2006-0648,2006329N06150,66400000,2014,154621565.9,3409580544,25.7,84.7,1,22.0511319,3.093363934,2006-0648PHL,FALSE,FALSE,TRUE,TRUE
30,PHL,608,WP2,2015,Melor (Nona),2015-0543,2015344N07145,135217000,2014,131434664.3,2659766669,25.7,84.7,1,20.23641696,3.007483801,2015-0543PHL,FALSE,FALSE,TRUE,TRUE
31,PHL,608,WP2,1994,Axel (Garding),1994-0594,1994345N06165,26813000,2014,119070439.2,110560443,25.7,84.7,1,0.928529732,-0.074152877,1994-0594PHL,FALSE,FALSE,TRUE,FALSE
32,PHL,608,WP2,2014,Hagupit (Ruby),2014-0479,2014334N02156,113878000,2014,113878000,118037232.4,25.7,84.7,1,1.036523581,0.035872403,2014-0479PHL,FALSE,FALSE,TRUE,TRUE
33,PHL,608,WP2,2000,Bebinca (Seniang),2000-0715,2000305N06136,31000000,2014,108879711.6,36725050123,25.7,84.7,1,337.2992965,5.820970656,2000-0715PHL,FALSE,FALSE,FALSE,FALSE
34,PHL,608,WP2,2013,Tropical storm Nari (SAnti),2013-0430,2013282N14132,96723000,2014,101259054.3,883877426,25.7,84.7,1,8.728873009,2.166636267,2013-0430PHL,FALSE,FALSE,TRUE,FALSE
35,PHL,608,WP2,2016,Nina (Nock-Ten),2016-0503,2016355N07146,103661000,2014,96757536.45,1991362714,25.7,84.7,1,20.58095717,3.024366239,2016-0503PHL,FALSE,FALSE,FALSE,FALSE
36,PHL,608,WP2,2003,Imbudo,2003-0346,2003196N04150,26468000,2014,89769325.95,302901523.2,25.7,84.7,1,3.37422076,1.216164412,2003-0346PHL,FALSE,FALSE,TRUE,FALSE
37,PHL,608,WP2,1993,Nell (Puring),1993-0228,1993353N05159,17000000,2014,88984870.12,1264179304,25.7,84.7,1,14.20667696,2.653712062,1993-0228PHL,FALSE,FALSE,FALSE,FALSE
38,PHL,608,WP2,1988,Warren (Huaning),1988-0312,1988193N09149,11516000,2014,86504877.06,1722121.603,25.7,84.7,1,0.019907798,-3.916643774,1988-0312PHL,FALSE,FALSE,FALSE,FALSE
