,estimated_damage,1,2,3,4,5,6,7,8,9,10
0,3830650467.996697,4823968390.908864,4430081688.97729,4141801151.2248178,3164193191.3248286,4426419612.0419655,5891942541.49359,3538205269.018113,3839389034.6276298,4017906602.273906,4111842083.126367
1,3671806452.9255853,4552289628.517925,4205826184.0228353,3950061251.023767,3067547066.1435885,4202589039.9545603,5475862351.255097,3408089639.276132,3679653368.805156,3839545235.448496,3923370682.7918954
2,90937450.47077535,115478105.25661565,105703021.28012416,98585121.39896628,74680949.96390902,105612407.76551326,142265161.50936344,83782981.00457779,91151734.2643433,95535591.4088747,97847183.77034695
3,1112904989.4852617,1399154060.8518553,1285828702.345262,1202732208.8106148,920062780.6055716,1284773916.949515,1705077336.722049,1028354966.354847,1115429641.1592433,1166981388.0908177,1194089337.5133088
4,1472878938.9938776,1863908079.9244144,1708473611.909379,1595024361.333698,1212361389.000902,1707030778.1230383,2287705625.471007,1358372674.0238078,1476304964.4631252,1546349959.683537,1583249748.0885158
5,448085702.22561175,569447637.5566056,521085360.14753324,485887068.9246278,367790283.13433796,520637179.44839954,702117254.6131512,412737947.4433735,449144640.410784,470811590.48454064,482238791.4731374
6,365695708.73986405,458519654.9535423,421787138.7279958,394841285.3446181,303035546.6565616,421445175.97179383,557671150.8441552,338240524.6705741,366515161.61454326,383243943.691703,392037862.9989686
7,89197.85709210845,113259.71544710729,103675.941110829,96696.85047941808,73255.83966769247,103587.09731436262,139518.50468337708,82182.04842031588,89407.98149958572,93706.66329125247,95973.27985019606
8,150497107.45873582,191210119.12339976,174987842.2214408,163179809.82865065,123551878.63328016,174837497.83430958,235702112.96573102,138636190.3476937,150852411.7517996,158122031.02558053,161955845.00006527
9,1194501955.6316414,1465309670.8430998,1359430564.198687,1280703618.0948155,1005293823.8876469,1358437154.6290905,1743344487.5990067,1112267201.8384054,1196940824.1196077,1246535648.925822,1272460086.0994947
10,796987982.4328016,981259516.6335737,909171199.6974964,855599607.5088817,668592578.4618475,908495015.52712,1170574712.8080292,741134225.7212574,798645442.5038395,832360880.282788,849992189.0254068
11,60962748.31094567,77404040.39659907,70855968.49463853,66087147.356591225,50067897.226505175,70795263.39414777,95341572.98928647,56168256.48914899,61106340.05829057,64043856.85877274,65592713.29060156
12,94302763.67400762,119885168.78983994,109689016.87554722,102269573.53470244,77385002.00666343,109594537.58013637,147866098.2214429,86854366.31661794,94525920.37905641,99092179.07811695,101500621.3281947
13,22391430.620002206,28045174.031302523,25807518.992749725,24166409.82266902,18574545.072152406,25786690.697647687,34091345.21720027,20719268.254226476,22441336.43181027,23460126.935139135,23995679.203028467
14,219894.33555608688,277558.457342611,254672.08136574752,237938.40651886063,181312.51976300392,254459.41978103548,339725.1772191744,202952.56392568702,220400.84183347813,230751.37610133138,236200.2419083064
15,594771851.8333708,754425672.701985,690870515.5090783,644559943.8164961,488828656.4681989,690281134.8971558,928342995.6822542,548165050.9570249,596167329.2962155,624710664.5744939,639757200.5642565
16,37490841.110689044,47640018.32198187,43595870.13430931,40652302.4815087,30774757.416595038,43558390.76649684,58732318.0054147,34534394.12178459,37579406.69883002,39391512.350564055,40347193.36432367
17,8733975.864139084,11063236.885532739,10136858.257719353,9461119.072356027,7184478.013609449,10128262.101070628,13592255.21030866,8052684.405631145,8754365.711141624,9171306.619279876,9391005.852896377
18,541298477.9144436,680490008.068488,625367554.3315417,584963646.2251631,447584256.6922556,624854614.1596968,829449894.0194577,500206888.0133611,542525578.1464525,567583838.9058821,580761857.6256326
19,39384861.93526902,49641114.18467423,45574429.19623021,42597725.51615751,32504747.4831911,45536616.77894043,60660401.741332375,36365433.755247004,39475091.422645114,41318405.29715956,42288371.273825906
