,estimated_damage,1,2,3,4,5,6,7,8,9,10
0,10586846143.678589,10586845514.573975,10586834408.641682,10586845123.1567,10586846124.362011,10494954258.534142,10586834618.713118,10586548975.850801,10586846143.683685,10586846143.683739,10586846139.872158
1,8078883977.359161,8078882009.660695,8078847273.649595,8078880785.39781,8078883916.941199,7838260208.774315,8078847930.67477,8077955083.28802,8078883977.375101,8078883977.375259,8078883965.453454
2,37143120.87238326,37143060.158676594,37141988.38085433,37143022.383839145,37143119.00817503,30174227.01735777,37142008.65318455,37114465.325362824,37143120.87287523,37143120.87288002,37143120.5050304
3,120146343.20798293,120146342.31553385,120146326.56022654,120146341.76026736,120146343.1805805,119992152.23680729,120146326.85824913,120145921.36765736,120146343.20799018,120146343.20799024,120146343.202583
4,5324789328.745197,5324787605.195027,5324757179.177819,5324786532.836389,5324789275.82379,5114872303.649656,5324757754.679949,5323975701.039437,5324789328.759164,5324789328.759299,5324789318.316736
5,1741823226.2244601,1741823157.3722813,1741821941.8578026,1741823114.533629,1741823224.1103647,1730183424.753438,1741821964.8500698,1741790683.3715549,1741823226.225018,1741823226.2250233,1741823225.807871
6,1615425921.9357412,1615425845.111062,1615424488.8489058,1615425797.3120644,1615425919.5768533,1602310318.9534614,1615424514.503527,1615389609.8868246,1615425921.9363637,1615425921.93637,1615425921.4709117
7,358655.9113907049,358655.8512262355,358654.789142809,358655.8137931195,358655.9095433607,351652.9908917073,358654.8092317958,358627.5142037317,358655.911391192,358655.9113911967,358655.9110266749
8,682846270.5416104,682846239.7902989,682845696.9069451,682846220.6573628,682846269.5973996,677589812.0307356,682845707.1759555,682831735.5885453,682846270.5418591,682846270.5418615,682846270.3555483
9,2259293985.6604753,2259293840.0586286,2259291269.651031,2259293749.467809,2259293981.189788,2236978763.742015,2259291318.271234,2259225196.0916557,2259293985.6616535,2259293985.661666,2259293984.779499
10,1198086383.51864,1198086374.628993,1198086217.6913521,1198086369.0980115,1198086383.2456877,1196565513.2370477,1198086220.659933,1198082181.75052,1198086383.5187113,1198086383.5187123,1198086383.4648554
11,300463912.4690232,300463903.9594004,300463753.7304397,300463898.66485876,300463912.2077369,298998426.00664026,300463756.57212555,300459890.1936361,300463912.4690922,300463912.46909285,300463912.4175351
