,estimated_damage,1,2,3,4,5,6,7,8,9,10
0,5463036773.140549,4524588348.43533,5637056202.330059,5958189565.108906,4313544324.751139,5969343682.458311,6016775566.26049,4691513953.670896,5599021922.241921,5514237236.181164,6346284100.0919695
1,4561281683.872312,3805734150.635827,4700232247.5620985,4955758558.602751,3634291589.216196,4964613550.861381,5002253578.746366,3940925297.1362777,4669892158.622361,4602199986.803437,5263076379.120631
2,57405432.27799922,46406107.85609526,59493466.92496633,63386721.61464117,43992865.911864474,63522883.77330004,64102603.97002176,48330526.973490566,59035799.6732906,58018200.41375398,68161396.62539107
3,178147420.34434232,146054739.89547455,184155352.73934957,195289998.18463522,138907619.15795967,195677864.0319997,197328072.7577553,151725826.75430763,182840695.7520813,179913216.85329425,208829980.40102902
4,2113205055.1000116,1752347738.3597445,2180301362.6103606,2304335293.91948,1671322663.6409643,2308648963.6577377,2326996878.1431756,1816451709.2565105,2165630077.0035195,2132938572.8085546,2454669430.2338877
5,776271907.2510846,627770678.437944,804432729.8337133,856913855.6035868,595156336.0803733,858748697.7978796,866560193.9842048,653770430.951616,798261116.0937961,784537173.337681,921229029.1029167
6,783935239.8689046,652055679.6200641,808289941.0458093,853164252.2414315,622252965.8375292,854721373.8262188,861341803.2694514,675587461.2665632,802969254.7729145,791103843.7871566,907287391.7985535
7,455618.44461858063,370078.52434405376,471769.45606096694,501811.97274405084,351204.5864243403,502861.0013586619,507326.06128479866,385101.4240143906,468231.7105322256,460361.0467054714,538530.869235062
8,405879942.6244272,327854727.66852754,420697247.0268225,448329074.5840378,310743559.5919535,449295560.31925946,453410511.965291,341501975.8560928,417449369.3046521,410228157.21277344,482223550.0458465
9,1844563223.118196,1573405671.8317637,1893975575.7100387,1984557926.6341999,1511152642.096054,1987690931.202424,2001004248.9762979,1622282946.073482,1883196262.4844835,1859126528.4431076,2093085308.626451
10,250952822.0892179,211343877.97848833,258234460.221137,271628918.8373087,202342074.5210772,272093216.59614503,274066929.24037653,218436789.0466525,256644422.793103,253097042.28926796,287749633.9960642
11,160787941.6200089,131774233.92573693,166219540.03255886,176286361.7765998,125312734.20451322,176637041.14352405,178129046.34343517,136901270.50342026,165030989.27634406,162384339.17903128,188528804.997071
12,231954421.97471702,187442644.04354024,240400506.30019882,256144956.34673256,177673293.41297236,256695508.6261483,259039452.9396289,195232379.27314445,238549361.42534497,234433203.39902478,275446759.4070791
13,18050711.658430774,15696366.174875787,18467111.40197829,19220578.261078477,15139007.448943347,19246412.15406137,19356022.35562673,16129524.21741111,18376600.03537885,18173835.434106085,20106756.343206167
14,65196.29024650751,56798.93878235332,66666.21563089745,69313.22324736076,54791.64229764944,69403.68015911776,69787.25261559844,58354.16102912343,66347.12261497004,65631.4383672805,72404.39121449554
15,1768094065.459179,1433725611.109038,1831286763.2366686,1948871088.031119,1360035982.2552903,1952977754.9576633,1970457859.5883362,1492404523.0647907,1817443569.1551948,1786648374.8238356,2092644817.3701022
16,57610397.2399744,46655680.54353906,59684454.09419112,63546876.62264571,44245824.438388236,63681847.59093714,64256410.578607686,48575770.8656002,59230002.905771784,58219247.76090571,68275201.05193616
17,13159265.130603427,10862135.937860906,13585745.77438533,14373224.994861072,10346162.40915611,14400587.959214754,14516954.932856914,11270404.613440393,13492518.157793894,13284727.801292315,15325739.955545736
18,186956276.54860798,158756500.96896374,192032505.06967992,201281462.12106395,152212692.41751572,201600000.24923807,202952552.04445177,163878154.04479378,190926941.20259127,188454592.7327828,212260504.98974723
19,113461552.08494633,94883076.7567452,116858780.3922523,123090040.53234299,90643324.16850223,123305601.62755243,124221607.79735194,98220214.91272058,116117516.07182643,114462611.22358318,130556417.96007802
