,estimated_damage,1,2,3,4,5,6,7,8,9,10
0,12071089220.638414,13988639534.770906,14305634210.086412,13649743416.666473,17026185095.327404,15307797306.7874,9901244720.933943,12567989639.379892,9517206931.349909,12001327235.704365,9098458639.564875
1,35615992034.504616,41025514319.12633,41913744593.01186,40074039083.01246,49468288172.20079,44710778658.1004,29417388810.52959,37023843573.64068,28311538186.72493,35417994315.37523,27102680845.4128
2,4283472590.6160245,4944989964.048983,5053858644.229304,4828446624.714099,5982554859.641966,5397135185.009006,3528760226.9671383,4455381540.718152,3394498655.7786036,4259310135.6226826,3247865813.838811
3,12296107065.775015,14220556603.927902,14537933599.972372,13881013963.158478,17252936908.952652,15539892036.331709,10108947093.80323,12795551404.898,9720791531.753925,12225945556.687647,9297191977.660187
4,1295895431.0805354,1505636538.8890305,1540413739.4990673,1468489380.069726,1840108523.0112994,1650555804.4431648,1059858615.5446851,1350142425.360571,1018225750.9994129,1288285262.6033897,972878796.5733235
5,972833622.6536096,1130286118.14108,1156394123.8904958,1102399201.1739528,1381393168.2278485,1239081910.3221462,795648198.8171799,1013556095.8926859,764396203.9384177,967120808.1112423,730356292.2836548
6,474641836.68118083,548910200.8618668,561161740.2504029,535804175.93657166,666019875.8117179,599847457.5382271,390263148.94586295,493913494.47664,375289993.85530716,471934706.07522935,358949738.80241305
7,22413.723563477866,25928.686847069483,26508.815925566858,25308.189708162925,31477.610809700447,28341.209016208348,18423.647125112868,23325.52830086769,17715.94326298469,22285.65569217175,16943.733039658207
8,495593298.1232627,575932470.586233,589256901.9941115,561701081.7087018,704120730.8519877,631462728.3952509,405223861.5317916,516368689.7341819,389288873.8396554,492678960.8971516,371933904.29806674
9,749438919.3482854,864038985.8084718,882893043.6088978,843854566.9307697,1043730794.3916218,942338912.4384445,618535834.7877967,779228692.4872599,595221381.2706658,745251212.7396566,569747030.2457658
10,603349770.004319,680988994.255633,693435941.2914103,667563012.3393515,796027997.0150055,732093872.6053355,510332842.8584332,623864394.064563,493262091.5331351,600446857.622857,474431098.77555823
11,8508234.37063691,9888011.253894104,10116860.155470338,9643588.197830165,12089763.849236522,10841767.863539822,6956329.5643800525,8865029.02950163,6682696.359260487,8458184.408668697,6384685.550584859
12,22952214.93883609,26674347.220254943,27291696.546440832,26014984.236724712,32613842.255306553,29247225.905817762,18765732.899086367,23914717.19559106,18027567.71307096,22817198.28592755,17223640.119697396
13,45575678.94714247,50991268.15098468,51850941.1717853,50061357.11621394,58849525.32504026,54506187.59582889,38962944.70988063,47015668.23244315,37734179.1960142,45371383.551917896,36373141.552938074
14,90784.53098538537,104807.46171065242,107115.65507748333,102336.68293769185,126811.10734915883,114394.50905362221,74789.69641368558,94428.33378859413,71944.52430885212,90272.3977263998,68837.25160021531
15,32691696.581357755,37848728.60680103,38701163.44631931,36937394.15999778,46018552.53748163,41396204.82539901,26852346.274726078,34028220.60910613,25818093.685777824,32504041.429343037,24690020.639127444
16,3256905.2459239275,3765806.895010787,3849757.6765447734,3676001.6446213783,4568329.271105307,4114849.0404701,2678680.1121641872,3388959.3055513,2576060.8100267905,3238355.1768236137,2464065.9800859187
17,26192446.085678842,30329339.591026,31012627.248344623,29598658.654498603,36870079.01196106,33171719.865001015,21503695.089445755,27265045.93325687,20672986.170554306,26041825.58350248,19766898.88241756
18,40809281.6035396,46779236.072572835,47755065.180664845,45732578.45884217,56008355.295507364,50820243.86185388,33907077.52334702,42367577.15552989,32668262.81628238,40589857.77256089,31311345.94810299
19,515426.5418516597,586470.9439413724,597973.286673172,574099.1921864839,694010.2324439419,633900.8757582786,431852.52598680614,534082.4020441942,416691.1945886244,512793.2938554842,400028.548529746
20,472889.36173533625,534739.0857445099,544694.9747958621,524013.19739486463,627243.7509934427,575694.2646989938,399281.4180798197,489192.06904136867,385821.8161884285,470584.6189119884,370989.8554218228
21,197624515.97064567,221940424.9632479,225821777.88531503,217748743.69036025,257656699.8330976,237849123.14026397,168226489.8434398,204067947.83637273,162796659.73152742,196711621.80923617,156793728.7502151
22,177803633.24711823,199012664.0841082,202381486.8121112,195369260.6777197,229830155.88933167,212790489.35938558,151934817.2545612,183440896.39417446,147131127.71290094,177003980.93007573,141811450.24042344
23,182330082.34032726,211607322.9017675,216455521.70497522,206426766.54461083,258161388.49905968,231798385.45286214,149304743.59504202,189908500.51847842,143471114.37575746,181266579.0305074,137114155.13876888
24,1999757875.35755,2295609743.016152,2344016926.015834,2243703049.2911906,2753858990.1077547,2496144656.0635695,1658461263.2239177,2076929444.5855155,1597304883.1968014,1988894559.084387,1530356406.2576156
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8117149681.157814,9394138050.434587,9604922424.785166,9168691139.775434,11410281998.485748,10270718905.310087,6668127758.920586,8448377195.242449,6411218034.063274,8070629344.677333,6130932885.599262
27,2851293898.5296674,3237631790.0451508,3300065842.6402063,3170443653.597923,3820187685.589973,3494882123.626656,2395128554.748186,2952866265.453603,2312163533.902147,2836949863.462765,2220904436.0096107
28,142587673.56430236,164764922.15403047,168420159.74933642,160853756.59933373,199668333.12007415,179956169.73488504,117350204.39178298,148345592.04261416,112867080.44544528,141778664.24428558,107972991.3139011
29,308347663.9373264,355358275.0659605,363085784.6986447,347083309.01384676,428918694.2415154,387436660.38148457,254575165.3332164,320574240.89702433,244991064.70029274,306628572.44489413,234516980.5827576
30,11047230.994367493,12839444.840318397,13136718.563752243,12521946.097281747,15699726.606891539,14078404.752231734,9031664.644112824,11510659.004562369,8676303.294894882,10982223.878251681,8289291.870604844
31,153343916.2066678,177873298.7891866,181932925.76468265,173534642.46662766,216828391.02602652,194775913.8264948,125644478.55944797,159695700.99959832,120748272.75209841,152452417.6062923,115411672.46035281
32,1294756430.6063516,1501675909.379189,1535914663.8102734,1465081730.4135711,1830139642.022018,1644219170.3655217,1061019503.5217457,1348343734.0537314,1019695903.3213476,1287234892.759977,974652870.0615447
33,20954700.943689026,24129556.524516113,24650840.39523833,23571154.193963524,29084745.39902037,26292382.17909226,17315894.755204987,21781007.88220722,16666554.69670427,20838487.3698524,15956655.557557153
34,445405133.65245014,510713184.662133,521384037.19411594,499266258.70253456,611561255.0763352,554891729.9903581,369873113.93804103,462455412.66820633,356317060.4588625,443004147.1184992,341469636.0135568
35,5781778786.280288,6557934901.23006,6683213666.448577,6423070392.969377,7725342040.890561,7073866969.542711,4863165420.911451,5985998226.945182,4695831540.42745,5752929587.3472,4511674974.491148
36,390160.6533400275,446045.92546038306,455139.5982772926,436279.0113035085,531551.9067368708,483624.5206389921,325051.319713184,404788.4959362444,313314.10235374386,388098.6891225597,300441.25002929475
37,133020776.17545718,151928265.0870679,155004574.48937047,148624200.03685275,180861130.18311492,164641327.0643753,110976456.76989102,137970447.29511055,106999319.29075027,132323000.99050534,102635911.98300488
38,1426835529.5678928,1608012941.745582,1637057946.021012,1576684661.3282044,1876614243.0463266,1727283197.571973,1209556488.9089878,1474714868.8541052,1169631314.6208472,1420059607.5791497,1125565787.152342
39,103875999.3300929,120568866.50137196,123333879.62584561,117614546.98706746,147129389.33125135,132085700.76526526,85053989.77389753,108196256.03585799,81729967.27130334,103269760.31840129,78107957.24554096
40,247013.87129163858,286109.66734382254,292568.93160925043,279202.9509990542,347960.85316686146,312982.5959524018,202727.04381934766,257148.62425137407,194883.54624616075,245590.7997007404,186329.33207802413
41,27116196.98815265,31469805.435590297,32190721.406725388,30699460.55508592,38391963.363940954,34472119.77515055,22204960.527261615,28243152.913848426,21337408.664765853,26958046.454359997,20392021.586970586
42,203977.2708140615,231105.7796265894,235476.06387274605,226398.3655975982,271728.59011051833,249087.53094263247,171763.76585162076,211123.6916471565,165884.7742638621,202967.26158505678,159411.14335398705
43,12380236493.250736,14178191071.765741,14471416786.504236,13863465545.060528,16942931020.059776,15391142880.282896,10294043915.72861,12850180081.46119,9918907946.833086,12314029928.705551,9507797865.04005
44,826461.7307454426,956960.1090634499,978516.35402225,933909.4043588602,1163339.1873477313,1046635.7443465374,678568.7085481861,860295.3156190837,652366.7275378543,821710.6970092955,623787.0123388314
45,1434100628.5677078,1663632462.7442787,1701621624.0481045,1623032610.0854468,2028176266.1432006,1821805708.8433557,1174931373.9044793,1493535240.0449896,1129123821.8607957,1425758852.8562038,1079197514.7593808
46,22.65647915356453,26.33195959731158,26.94160657193068,25.680834233824708,32.19776687795817,28.872804049290586,18.522904920415222,23.60688278408395,17.794116363975895,22.52316160745294,17.000417078406535
47,8534267.84294239,9574895.358441189,9740714.36712048,9395726.15150516,11097426.34626341,10254004.38315301,7272411.096413423,8810312.979108498,7038946.776854502,8495142.070614533,6780707.657667439
48,175775.59651166192,199878.4983109065,203779.26171624562,195682.44270548498,236335.23510500474,215960.94155740217,147395.30369518403,182106.65844586087,142243.12324044274,174881.86471341897,136579.32841610332
49,113255872697.2882,128859224098.57634,131386953412.15831,126140944907.85527,152512799360.00168,139285523432.271,94915147632.37277,117351856202.53857,91588887429.09567,112677797849.49504,87933418611.82669
50,3432642696.065963,3982462539.926944,4073473762.4311743,3885200679.502109,4855951757.704674,4361423715.203899,2811976323.5751433,3575000265.59275,2702290763.3091965,3412663162.9034357,2582748187.2403107
51,10502791200.885427,11746942395.81305,11944321248.216345,11533399055.693476,13549814996.408121,12553737247.608229,8982065676.637236,10833727291.60789,8699322123.277073,10455833677.529848,8386086942.795009
52,832991764.7785063,963661440.5941627,985226258.9442532,940595473.0689096,1169903598.5194323,1053337094.7571815,684646432.7513564,866889762.7448766,658334510.0857986,828230543.8670251,629624365.4001479
53,1561454905.7428474,1813539194.8238912,1855321694.8266542,1768904473.5049038,2215204874.627321,1987621178.1438315,1277568412.2015705,1626669085.1724925,1227473384.562018,1552305298.1952136,1172901601.8295267
54,142376937220.56537,162141429907.37515,165344110801.73877,158697509165.90204,192112410338.81055,175352416864.94305,119165895006.76936,147564105577.61887,114959885710.13206,141644944476.10742,110339118880.09206
55,506388683.9523144,583641162.0657332,596332012.1999663,570048540.7492226,704331866.5789089,636305952.516042,417955771.10247374,526487482.0505274,402189988.26845324,503562408.7849173,384959696.8756784
56,2046560394.6150405,2370414728.239592,2423939530.756163,2313188530.4405885,2883222850.690435,2593139022.1453543,1679877404.5987682,2130495912.1715994,1614946556.0721803,2034775402.533317,1544134066.2194493
57,60894267503.304184,69242272034.2663,70593130061.13382,67789095979.152466,81865092872.57538,74811362206.65804,51063116247.23563,63087174308.77093,49278228763.66624,60584695590.43955,47316067297.80965
58,21599481031.763336,24508765522.159798,24978051990.53471,24003461307.40423,28876722706.166935,26440679186.63459,18154217327.072514,22365208711.526894,17526640816.851788,21491299823.20206,16836032275.755045
59,2459519255.1083264,2846976430.7939305,2910945402.9769387,2778562020.6904135,3458998966.073639,3113027638.7443695,2020038581.556119,2560004752.8346987,1942138465.3054502,2445407013.806584,1857157056.3109329
