,estimated_damage,1,2,3,4,5,6,7,8,9,10
0,8417177029.877802,7764167625.394578,7999182167.849343,9485704364.271414,9516853818.570198,9650806279.55834,8753065457.977972,6954476845.462622,8688827916.232103,6630547579.906447,9055640830.335243
1,4992072479.507834,4613693347.392877,4750120524.502079,5606841247.713008,5624687739.733405,5701387440.142024,5185881877.087338,4141345898.71254,5148857563.146059,3951299869.5184164,5360022273.854787
2,144713832.67859387,131146591.74392612,135991389.58383983,167627549.62168586,168308875.02246422,171247443.73838872,151821010.69328234,114781539.06018378,150455017.0666261,108376338.71913387,158298323.293709
3,153070927.87058866,139792388.12274364,144553008.3598933,175140432.0665245,175790161.51977438,178588314.71658,159962704.47347462,123548346.99198359,158641434.81922123,117118463.00147393,166206837.4950514
4,1738690172.3356278,1576615097.676105,1634510382.524736,2012053016.1088607,2020174486.6173227,2055198129.8500032,1823527731.32774,1380891706.0273056,1807225442.7144241,1304216785.4798827,1900808568.1786027
5,1481150213.6345153,1342822374.7805502,1392236589.6947289,1714412255.9104292,1721341169.6786284,1751221049.9742448,1553550081.7197757,1175762485.9580605,1539638270.596081,1110316057.312033,1619495560.74099
6,257801065.015193,234859954.29552427,243069947.43439233,296215178.2190385,297351474.4676679,302248608.5036841,269758715.8714756,206971294.7816007,267463544.91792616,195985685.46257627,280622602.774596
7,2158503.0197644,1957033.8562433382,2029006.4318155262,2498189.340937541,2508278.590615178,2551786.3348258673,2263941.520244715,1713685.6021032475,2243681.730263254,1618342.8626078088,2359974.987775416
8,318138660.29195905,288237341.3078573,298913089.8253448,368677310.81362325,370180811.1275913,376665953.1582138,333809042.6226273,252190986.74194786,330796847.50127375,238088643.1703786,348094736.3628142
9,1074944150.3402872,993651928.1495557,1022916942.2799644,1207994746.9415805,1211877904.222583,1228581273.5987506,1116747743.7159693,892660671.1282198,1108752396.0007725,852145810.6914297,1154416052.547837
10,366125771.1550751,335922613.3714948,346768497.1003032,415995355.37886834,417457399.7041326,423749936.73716545,381742517.35890037,298763555.6473845,378751620.6252477,283988008.04773027,395857326.6656381
11,192929894.47705343,174873892.88839775,181322856.5284205,223400411.61579737,224305978.7968064,228211411.1756306,202384193.265683,153079790.32814518,200567312.3255148,144545290.19121623,210998078.68640918
12,508363973.0118072,460708436.6718462,477728789.8138432,588791506.8033476,591181802.3465216,601490395.9952503,533318299.3852645,403194622.5907633,528522646.1701307,380675683.29063207,556054872.8710558
13,6623280.686766006,6261982.044129305,6393713.237106625,7184917.788704598,7200785.995214319,7268717.048697819,6803588.798264131,5792243.875776754,6769382.538908197,5596854.395891003,6963001.826152772
14,61848.41573298111,58458.74913522914,59698.61667519525,67045.58999868752,67191.08282534858,67813.06904465564,63526.80373799496,54002.97954169224,63209.09822186596,52134.99780310401,65002.99997145467
15,1696918868.6990876,1540812648.5069098,1596633800.1276512,1959058761.7698214,1966824408.897606,2000298693.931705,1778429542.002698,1351629304.702398,1762777406.485583,1277320600.74745,1852557782.7709355
16,648137.7095080087,605137.9481928694,620655.9072811148,717853.0159271472,719876.3394291715,728572.6762570485,670126.048709438,551226.6153644357,665926.7579241504,529427.008237465,689871.8432916583
17,63531594.211458236,58824130.89598829,60526304.13656487,71089385.13651893,71307106.8644589,72241746.69960316,65926372.62774737,52889185.8125142,65469750.67604063,50483628.63345085,68068575.56663854
18,293183333.9996256,274557937.8768942,281347319.57110095,322103815.4875603,322919166.1268322,326408082.66863674,302477514.3302909,250398109.41882232,300714726.0859029,240388488.55666035,310688734.3783778
19,43741399.31420427,40221318.105240814,41488968.653576694,49485739.64817674,49652892.57160345,50371500.88723266,45549266.322040595,35847597.9441241,45203667.16010709,34095367.90674425,47176160.683527276
20,1013592131.6851947,950110870.6707451,973177972.0500559,1113599076.160143,1116447701.1812596,1128656744.3507497,1045524195.9489896,868602930.0936589,1039453617.6528091,835049696.7141325,1073893468.4802177
21,45743095.38101239,43510638.74947386,44329105.11240303,49136532.21138157,49231058.93840257,49634891.6516935,46842692.85074016,40550076.29563452,46634829.75314677,39299386.48877852,47806838.23907515
22,45425649.93049308,43222143.73221546,44030025.18936822,48774705.57164006,48867991.513288386,49266521.394916885,46510906.79935712,40299516.512724675,46305758.04224019,39064650.20802052,47462443.45779426
23,1353686216.256706,1256593486.212369,1291765019.611556,1508375101.6690886,1512808653.589592,1531826240.7690003,1402863876.1390736,1133412277.5707293,1393498404.3429492,1083246969.372287,1446728253.3562078
24,5113900132.248501,4878638661.321941,4965124465.444407,5467898792.178086,5477703105.0448675,5519556808.939585,5229061251.341388,4563417870.273354,5207326397.969059,4429087399.381151,5329670964.243645
25,261237.65134521923,241140.16917681278,248397.04927795223,293679.0700628318,294616.6343844194,298643.25933339226,271494.574528309,215932.72988236538,269537.18790434394,205759.80564479282,280687.68611411797
26,1746455107.1395957,1645567466.8328156,1682256461.2855468,1904950473.5812297,1909458819.335629,1928778076.2134159,1797114068.7738006,1515611146.148735,1787487449.4806187,1461950539.6581705,1842077932.2429461
27,1192463720.6334934,1133002789.2101042,1154771848.039505,1283418100.6972983,1285963020.3173597,1296842866.652172,1221854527.638061,1054518358.3492092,1216292972.8844655,1021469336.6199394,1247687262.303955
28,323187996.8864273,296278668.9698935,305943508.4241889,367595161.9255689,368896846.2020603,374499178.342564,337096475.02225006,263147690.52463242,334432959.5228493,249965006.34293726,349665176.6844281
29,1260352320.0342376,1151325129.0185678,1190409651.4650269,1441634950.4494834,1446973347.4342842,1469964841.1719964,1316952531.8892696,1017994497.715773,1306100612.6218941,965231601.6261102,1368241682.6141202
30,1560284204.8668199,1476105001.9730947,1506942591.97112,1688584454.5523918,1692163293.325334,1707455328.3749554,1601817552.9415717,1364839378.6891305,1593963045.6055179,1317991045.2578282,1638268039.5164785
31,1626281216.7849128,1527746643.9750876,1563677041.3112614,1779247990.1505885,1783563805.714964,1802035030.4493365,1675428074.062919,1399676778.1139584,1666106641.2983205,1346477184.0257688,1718852478.4425204
32,403661546.6496757,381699052.4060317,389737636.7479104,437265005.42122316,438204896.05245084,442222651.63673306,414521207.97607976,352754377.2603815,412466222.3811298,340591847.4083146,424065979.8774399
33,13247278.416618133,12299030.803761475,12641434.969120387,14779608.362621276,14823958.682487205,15014488.79200279,13731376.644739602,11108568.353567123,13638974.783069042,10627172.79990489,14165513.679357462
34,985197725.756877,945101872.5273678,959852692.3816557,1045431455.8039765,1047099571.1723212,1054221156.7096076,1004798487.0725528,891176929.0750858,1001099969.5577894,868094697.8255713,1021915772.607113
