,estimated_damage,1,2,3,4,5,6,7,8,9,10
0,5389546220.3761215,5821462292.068735,6629388450.471667,5872879469.535162,5505764311.255526,4700554644.342447,5314388423.012264,4863239540.152683,6246444137.998988,6729245069.290548,5101724649.808461
1,2798326609.20688,3020658371.065512,3436150156.3093677,3047115005.4851284,2858167176.9904413,2443282904.926432,2759621087.974882,2527162555.234505,3239270631.4220667,3487473678.9399514,2650070865.8916354
2,131532229.75566535,142716734.49453473,163869206.60251683,144053969.01451737,134533134.5906052,113872988.42243318,129594937.15733896,118022240.02450551,153806055.78614426,166504199.2445533,124127705.13133577
3,598667154.534698,646841703.8831625,736845206.6127476,652574261.3012598,611632937.3739895,521766209.04516,590281142.7949278,539928044.8246996,694205586.5666734,747957001.8499596,566548314.12329
4,2077616972.0028896,2249930555.3019667,2574054036.938733,2270489172.738241,2123914196.088366,1804215005.5033605,2047703879.2887175,1868602395.9229474,2420139372.9045496,2614271236.338327,1963179899.4550843
5,691985215.2171783,750943747.403515,862497110.1295183,757994115.4813105,707802557.9603351,598932225.8669724,681774711.6534811,620792091.0075914,809418306.5066079,876397967.0904171,652962580.532961
6,389871698.7581647,420700023.82022107,478167373.5320574,424365037.59238636,398174105.24699926,340542809.74551404,384499730.2206156,352206993.2896754,450961140.4331734,485252085.74195063,369287388.9360445
7,275450.53172935254,298871.16520185285,343163.06899213284,301671.3219241784,281734.56832864444,238470.3018477219,271393.7239543838,247159.39251809544,322091.79918752884,348680.39514675445,259944.9037337502
8,214749459.2294776,233042599.53884754,267653250.93904853,235230096.3229771,219657172.06169242,185876789.63468915,211581385.3943364,192659630.07542023,251185146.33017325,271966049.87301165,202641593.68864605
9,2965000697.513523,3182930593.211187,3583505157.2227354,3208695995.2188644,3023904689.4423313,2611716972.463978,2926803158.396742,2695770215.287047,3394771482.5803075,3632389363.666463,2818272774.7488437
10,851632065.8896147,911906406.3760377,1021844287.4727283,919010920.2214522,867955760.7198366,753228256.8549806,841033864.6058851,776718198.0845699,970183574.7922009,1035185171.4009341,810866523.1014308
11,71411457.21695831,77500612.22374591,89022921.99883659,78228796.0956001,73045002.72699106,61802116.3787983,70356980.53993718,64059405.64176557,83540239.5648966,90458840.71158043,67381527.94780986
12,146216626.73000273,158690111.43152055,182295609.76539427,160181835.68683282,149562820.08090568,126533895.40735123,144056644.81644768,131157285.39806616,171062984.2823444,185237554.82577288,137961891.29139844
13,18223008.70139532,19643020.560436238,22291912.57160939,19811863.69125558,18605410.98264152,15950547.740701282,17975580.385399103,16488021.572695445,21037427.818824418,22618764.16513799,17274884.125509225
14,94680.98531711096,102248.11011021391,116372.11578956756,103148.20960011985,96718.1527055875,82589.60257334172,93363.16703812928,85446.66397275781,109682.84389141547,118114.76466313285,89632.71871201767
15,637994859.6034988,692189310.4395576,794660701.0948578,698668308.7036378,652536556.6204995,552409712.9781522,628606858.0516213,572520911.3802748,745914278.3061314,807423654.4474379,602111600.8758472
16,88590655.39902721,96135865.95394789,110410214.1425481,97038095.69464718,90614936.09163871,76681034.31919624,87283907.552188,79478949.33472206,103618540.39388652,112188805.83662286,83596416.32754004
17,21437641.81867168,23223903.074511755,26586891.663428966,23437096.17685935,21917462.6981251,18605840.14054495,21127669.005051605,19272474.611537974,24989446.667362425,27004437.524841968,20251982.8378424
18,696462596.5436761,752319777.0655452,856683744.2120724,758966505.0681361,711496289.2662592,607286677.4320664,686738943.2249786,628349711.4584342,807238097.1830739,869570434.4815674,659219564.0915171
19,15120795.20552992,16353512.429909315,18663050.413629357,16500360.955819989,15452333.792465061,13157995.733308438,14906455.478894899,13621002.167496124,17567840.599693935,18948772.35280157,14300258.373685375
20,2319308374.346901,2455514370.8199306,2696436921.102141,2471372874.6349945,2356492968.6342716,2090323707.2062871,2295046425.9200616,2145751078.4420936,2584406094.8585014,2725035676.17152,2225463564.0916586
21,35182052.362892,37913298.64446828,42987335.67181478,38237568.13396461,35918250.87775241,30797997.601501964,34705450.00661344,31836186.238027047,40587971.174129136,43611329.44776102,33354718.12910942
22,39830692.025259405,42867523.75134336,48495321.0305401,43227710.09104432,40649811.17592476,34943859.420354135,39300185.0133856,36102553.676625386,45836250.16542497,49186255.46694631,37795706.9862593
23,442761980.72256124,478776339.1996161,546220032.405233,483065818.9941731,452449152.0827387,385393956.65653825,436498777.6531196,398929241.3254061,514242332.42472863,554561051.2167412,418783236.7599657
