,i_half,train_RMSF,test_RMSF
0,295.0015602899017,20.772541202131894,20.772541202131894
1,295.07741696711963,21.08848187598904,18.197377395459625
2,295.20531744061896,21.590889042374112,14.590725503201124
3,295.09096387929355,21.80808347077567,13.199647915727397
4,295.0242442639942,22.10958488394758,11.42138586858652
5,299.31543975583634,17.903224085990693,62.25138560783587
6,295.20408488082484,22.476116524451612,9.478876378259374
7,295.6030561611671,18.666627573286288,50.722095942989846
8,295.0003386300747,23.342618854702607,4.362402675688683
9,295.0001295876543,20.60408736743403,22.463799370334225
10,295.0141133182353,18.644344168329546,51.15492391955455
